Abdominal-A          PF12407.3  SPU_011906           -              0.026   13.9   6.5     0.026   13.9   6.5   5.4   4   2   1   5   5   5   0 Homeobox protein
AF-4                 PF05110.8  SPU_004351           -            4.5e-56  190.3  17.0   1.2e-20   73.0   9.5   3.0   1   1   2   3   3   3   3 AF-4 proto-oncoprotein
AF-4                 PF05110.8  SPU_008023           -            0.00095   17.0  24.4   0.00095   17.0  24.4   2.9   1   1   2   3   3   3   1 AF-4 proto-oncoprotein
AraC_N               PF06719.8  SPU_024658           -               0.16   11.1   2.2      0.38    9.9   2.2   1.6   1   0   0   1   1   1   0 AraC-type transcriptional regulator N-terminus
Basic                PF01586.11 SPU_021119           -            6.5e-24   84.3   0.9   1.6e-23   83.1   0.9   1.7   1   0   0   1   1   1   1 Myogenic Basic domain
BESS                 PF02944.15 SPU_014958           -            8.4e-05   21.9   0.2   0.00018   20.8   0.2   1.6   1   0   0   1   1   1   1 BESS motif
BESS                 PF02944.15 SPU_023427           -            0.00029   20.1   1.4   0.00042   19.6   0.0   2.1   2   0   0   2   2   2   1 BESS motif
bZIP_1               PF00170.16 SPU_005358           -              5e-20   71.1  13.0   9.3e-20   70.2  13.0   1.5   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_006080           -              0.021   14.6   1.5     0.021   14.6   1.5   4.0   4   1   1   5   5   5   0 bZIP transcription factor
bZIP_1               PF00170.16 SPU_006286           -             0.0007   19.3   1.8   0.00091   19.0   1.8   1.2   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_006803           -            8.8e-14   51.0  10.0     2e-13   49.9  10.0   1.6   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_008703           -            6.7e-09   35.4  11.3   6.7e-09   35.4  11.3   2.8   1   1   1   2   2   2   2 bZIP transcription factor
bZIP_1               PF00170.16 SPU_008723           -            2.8e-05   23.8   2.1      0.32   10.8   0.0   3.4   3   0   0   3   3   3   2 bZIP transcription factor
bZIP_1               PF00170.16 SPU_008752           -            2.3e-08   33.7   3.9   4.5e-08   32.8   3.9   1.5   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_011174           -            1.8e-07   30.8   3.9   3.8e-07   29.8   3.9   1.5   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_012648           -              3e-06   26.9   5.3     3e-06   26.9   5.3   2.3   3   0   0   3   3   3   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_012838           -            5.7e-11   42.0   6.3   1.2e-10   41.0   6.3   1.6   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_019804           -             0.0027   17.5   3.3    0.0034   17.1   3.3   1.1   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_021172           -            3.9e-09   36.2  11.2   7.1e-09   35.3  11.2   1.5   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_021173           -            2.2e-10   40.2  13.7   3.4e-10   39.6  13.7   1.2   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_021560           -             0.0026   17.5   2.3    0.0026   17.5   2.3   4.0   4   0   0   4   4   4   1 bZIP transcription factor
bZIP_1               PF00170.16 SPU_026905           -            1.5e-11   44.0   8.8   3.3e-11   42.8   8.8   1.6   1   0   0   1   1   1   1 bZIP transcription factor
bZIP_2               PF07716.10 SPU_000122           -              0.042   13.5   1.1     0.042   13.5   1.1   4.6   4   2   1   5   5   5   0 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_001657           -            4.7e-15   55.0   7.3   7.1e-15   54.4   7.3   1.3   1   0   0   1   1   1   1 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_002852           -             0.0091   15.6   4.0     0.014   15.0   4.0   1.2   1   0   0   1   1   1   1 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_004414           -            4.4e-16   58.3  10.3   2.4e-15   55.9   9.6   2.3   1   1   1   2   2   2   2 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_004842           -            5.5e-13   48.4  12.6   5.5e-13   48.4  12.6   2.1   2   0   0   2   2   2   1 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_004843           -            5.5e-13   48.4  12.6   5.5e-13   48.4  12.6   2.3   2   0   0   2   2   2   1 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_006032           -            2.3e-10   40.0  11.6   5.8e-10   38.7  11.6   1.7   1   0   0   1   1   1   1 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_008920           -              2e-10   40.1  11.6   5.8e-10   38.7  11.6   1.8   1   0   0   1   1   1   1 Basic region leucine zipper
bZIP_2               PF07716.10 SPU_011002           -            8.5e-16   57.4  14.5   1.3e-15   56.8  14.5   1.3   1   0   0   1   1   1   1 Basic region leucine zipper
