bZIP_1               PF00170.16 PMI_000005-RA        -             0.0049   16.6   5.0    0.0049   16.6   5.0   3.3   3   0   0   3   3   3   1 bZIP transcription factor
RHD                  PF00554.17 PMI_000025-RA        -            5.7e-17   61.8   0.4   4.2e-16   59.0   0.4   2.1   1   1   0   1   1   1   1 Rel homology domain (RHD)
L_HGMIC_fpl          PF10242.4  PMI_000119-RA        -            2.2e-34  118.9  12.2   8.6e-34  116.9  12.2   1.7   1   1   0   1   1   1   1 Lipoma HMGIC fusion partner-like protein
PAX                  PF00292.13 PMI_000164-RA        -            1.1e-35  121.9   1.0   8.8e-33  112.5   0.2   2.3   1   1   1   2   2   2   2 'Paired box' domain
Homeobox             PF00046.24 PMI_000223-RA        -            1.8e-23   81.8   4.7   2.8e-23   81.1   4.7   1.3   1   0   0   1   1   1   1 Homeobox domain
F-box-like           PF12937.2  PMI_000320-RA        -            1.4e-16   59.8   0.2   3.3e-16   58.6   0.2   1.6   1   0   0   1   1   1   1 F-box-like
Ets                  PF00178.17 PMI_000442-RA        -            1.4e-36  124.3   0.5   2.2e-36  123.7   0.5   1.3   1   0   0   1   1   1   1 Ets-domain
zf-NF-X1             PF01422.12 PMI_000443-RA        -            1.8e-05   24.4  39.0   0.00052   19.7  18.3  16.8  16   2   0  16  16  16   7 NF-X1 type zinc finger
MH2                  PF03166.9  PMI_000520-RA        -            1.3e-24   86.9   0.0   2.4e-24   86.0   0.0   1.4   1   0   0   1   1   1   1 MH2 domain
Homeobox             PF00046.24 PMI_000585-RA        -              4e-28   96.6   3.9   4.2e-13   48.6   0.3   2.7   2   0   0   2   2   2   2 Homeobox domain
zf-C2H2              PF00096.21 PMI_000644-RA        -            4.3e-08   33.0  14.3     0.001   19.2   3.3   2.4   2   0   0   2   2   2   2 Zinc finger, C2H2 type
E2F_TDP              PF02319.15 PMI_000817-RA        -            3.3e-12   45.6   0.1   6.1e-12   44.8   0.1   1.4   1   0   0   1   1   1   1 E2F/DP family winged-helix DNA-binding domain
Homeobox             PF00046.24 PMI_000871-RA        -            1.2e-23   82.3   6.0   1.9e-23   81.7   6.0   1.3   1   0   0   1   1   1   1 Homeobox domain
Hormone_recep        PF00104.25 PMI_001061-RA        -            1.5e-31  109.0   0.0   2.3e-31  108.4   0.0   1.1   1   0   0   1   1   1   1 Ligand-binding domain of nuclear hormone receptor
FBA                  PF04300.8  PMI_001176-RA        -            1.3e-22   80.5   0.1   2.7e-22   79.5   0.1   1.5   1   0   0   1   1   1   1 F-box associated region
Homeobox             PF00046.24 PMI_001184-RA        -            3.9e-22   77.5   4.1   6.8e-22   76.7   4.1   1.4   1   0   0   1   1   1   1 Homeobox domain
bZIP_2               PF07716.10 PMI_001297-RA        -            2.6e-08   33.4  10.0   2.6e-08   33.4  10.0   2.8   1   1   1   2   2   2   2 Basic region leucine zipper
Homeobox             PF00046.24 PMI_001429-RA        -              3e-13   49.0   1.3   6.1e-13   48.0   1.3   1.5   1   0   0   1   1   1   1 Homeobox domain
HLH                  PF00010.21 PMI_001542-RA        -             0.0066   16.0   3.0     0.022   14.3   0.9   2.2   2   0   0   2   2   2   1 Helix-loop-helix DNA-binding domain
